Distribuído: True | world_size=4 | device=cuda:0
Construindo modelo...
Hierarquia: 3 estágio(s), 2 módulo(s) de roteamento
Parâmetros: 874.3M
Métricas em checkpoints/train_pt/hnet_2stage_L.metrics.txt
passo   1210 | lm 1.2814 | ppl 3.60 | bpb 1.8487 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0161 | lr 3.00e-04 | 2.12s/step | 15,482 tok/s
passo   1220 | lm 1.2678 | ppl 3.55 | bpb 1.8290 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0215 | lr 3.00e-04 | 2.12s/step | 15,437 tok/s
passo   1230 | lm 1.2672 | ppl 3.55 | bpb 1.8282 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0165 | lr 3.00e-04 | 2.13s/step | 15,414 tok/s
passo   1240 | lm 1.2343 | ppl 3.44 | bpb 1.7808 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0149 | lr 3.00e-04 | 2.12s/step | 15,489 tok/s
passo   1250 | lm 1.2804 | ppl 3.60 | bpb 1.8473 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0215 | lr 3.00e-04 | 2.12s/step | 15,454 tok/s
passo   1260 | lm 1.2506 | ppl 3.49 | bpb 1.8042 | bpic 0.00 | ratio_loss 0.0000 | lb 1.9976 | lr 3.00e-04 | 2.07s/step | 15,806 tok/s
passo   1270 | lm 1.2891 | ppl 3.63 | bpb 1.8598 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0251 | lr 3.00e-04 | 2.12s/step | 15,458 tok/s
passo   1280 | lm 1.3359 | ppl 3.80 | bpb 1.9273 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0089 | lr 3.00e-04 | 2.11s/step | 15,536 tok/s
passo   1290 | lm 1.2828 | ppl 3.61 | bpb 1.8506 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0089 | lr 3.00e-04 | 2.10s/step | 15,633 tok/s
passo   1300 | lm 1.2960 | ppl 3.65 | bpb 1.8697 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0238 | lr 3.00e-04 | 2.13s/step | 15,378 tok/s
passo   1310 | lm 1.2260 | ppl 3.41 | bpb 1.7688 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0047 | lr 3.00e-04 | 2.10s/step | 15,625 tok/s
